t_ms,linAx,linAy,linAz,gravX,gravY,gravZ,heading,roll,pitch,quatW,quatX,quatY,quatZ,calSys,calGyro,calAccel,calMag
-4992,-0.1,-0.07,-0.09,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864929,-0.494629,-0.0842285,0.0139771,0,3,1,0
-4972,0,-0.3,0.21,1.29,-8.41,4.87,358.125,7.5625,59.875,0.865051,-0.494324,-0.0841675,0.0139771,0,3,1,0
-4952,0.04,-0.25,0.35,1.29,-8.41,4.87,358.125,7.5625,59.875,0.865051,-0.494385,-0.0842285,0.013916,0,3,1,0
-4932,-0.02,0.1,0.1,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864868,-0.494629,-0.0842285,0.013855,0,3,1,0
-4912,-0.07,0.15,-0.07,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864746,-0.494873,-0.0842285,0.013855,0,3,1,0
-4892,-0.11,0.08,-0.2,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864746,-0.494873,-0.0842285,0.013855,0,3,1,0
-4872,-0.06,0.05,-0.18,1.29,-8.41,4.86,358.125,7.5625,59.875,0.864929,-0.494568,-0.0841064,0.0137939,0,3,1,0
-4852,0,-0.11,0.07,1.29,-8.4,4.87,358.125,7.5625,59.875,0.865112,-0.494263,-0.0839844,0.0137939,0,3,1,0
-4832,0.05,-0.17,0.34,1.29,-8.4,4.87,358.125,7.5625,59.875,0.865173,-0.494202,-0.0839233,0.0137939,0,3,1,0
-4812,0.12,-0.06,0.28,1.29,-8.41,4.87,358.125,7.5625,59.875,0.865051,-0.494385,-0.0839844,0.0137329,0,3,1,0
-4792,0,0.07,-0.02,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864868,-0.49469,-0.0839844,0.0137329,0,3,1,0
-4771,-0.07,0.12,-0.15,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864807,-0.494873,-0.0839844,0.0136719,0,3,1,0
-4751,-0.08,0.09,-0.1,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864807,-0.494812,-0.0839844,0.0137329,0,3,1,0
-4731,-0.04,0.05,-0.04,1.29,-8.41,4.87,358.125,7.5625,59.875,0.86499,-0.494568,-0.0839844,0.0137329,0,3,1,0
-4711,0.04,-0.17,0.2,1.29,-8.4,4.87,358.125,7.5625,59.875,0.865112,-0.494263,-0.0839233,0.0137939,0,3,1,0
-4691,0.09,-0.18,0.34,1.29,-8.4,4.87,358.125,7.5625,59.875,0.865173,-0.494202,-0.0839233,0.0137939,0,3,1,0
-4671,0,0.03,0.06,1.29,-8.41,4.87,358.125,7.5625,59.875,0.865051,-0.494446,-0.0839233,0.0137329,0,3,1,0
-4651,-0.07,0.1,-0.11,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864929,-0.49469,-0.0839844,0.0137329,0,3,1,0
-4631,-0.1,0.02,-0.17,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864868,-0.49469,-0.0839844,0.0137329,0,3,1,0
-4611,-0.08,0,-0.07,1.29,-8.41,4.87,358.125,7.5625,59.875,0.86499,-0.494507,-0.0839844,0.0137939,0,3,1,0
-4591,-0.01,-0.08,0.16,1.29,-8.4,4.87,358.125,7.5625,59.875,0.865173,-0.494263,-0.0839844,0.0137939,0,3,1,0
-4571,0.06,-0.12,0.24,1.29,-8.4,4.87,358.125,7.5625,59.875,0.865173,-0.494141,-0.0839844,0.0137939,0,3,1,0
-4551,0.07,0.01,0.26,1.29,-8.41,4.87,358.125,7.5625,59.875,0.865051,-0.494385,-0.0839844,0.0137939,0,3,1,0
-4531,0,0.05,0.08,1.29,-8.41,4.86,358.125,7.5,59.9375,0.864929,-0.49469,-0.0839844,0.0137939,0,3,1,0
-4511,-0.08,0.06,-0.11,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864807,-0.494873,-0.0840454,0.0137939,0,3,1,0
-4491,-0.06,0.07,-0.12,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864807,-0.494873,-0.0840454,0.0137939,0,3,1,0
-4471,-0.02,0.03,-0.01,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864868,-0.49469,-0.0840454,0.013855,0,3,1,0
-4451,0.06,-0.01,0.14,1.29,-8.41,4.87,358.125,7.5625,59.875,0.86499,-0.494507,-0.0840454,0.013855,0,3,1,0
-4431,0.08,-0.04,0.2,1.29,-8.41,4.87,358.125,7.5625,59.875,0.86499,-0.494507,-0.0840454,0.013855,0,3,1,0
-4411,0,-0.01,0.14,1.29,-8.41,4.87,358.125,7.5625,59.875,0.86499,-0.494568,-0.0840454,0.0137939,0,3,1,0
-4390,-0.08,0,-0.01,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864868,-0.49469,-0.0840454,0.0137939,0,3,1,0
-4370,-0.11,0,-0.08,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864868,-0.49469,-0.0840454,0.0137939,0,3,1,0
-4350,-0.09,-0.01,-0.05,1.29,-8.41,4.86,358.125,7.5,59.9375,0.864929,-0.494629,-0.0839844,0.013855,0,3,1,0
-4330,-0.01,-0.01,0.06,1.29,-8.41,4.87,358.125,7.5,59.875,0.86499,-0.494507,-0.0839844,0.013855,0,3,1,0
-4310,0.05,-0.02,0.18,1.29,-8.41,4.87,358.125,7.5,59.875,0.86499,-0.494507,-0.0839844,0.013855,0,3,1,0
-4290,0.01,0,0.16,1.29,-8.41,4.87,358.125,7.5,59.875,0.864929,-0.494629,-0.0839844,0.013855,0,3,1,0
-4270,-0.01,0.01,0,1.28,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494812,-0.0839233,0.013855,0,3,1,0
-4250,-0.07,0,-0.07,1.28,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494873,-0.0839233,0.013855,0,3,1,0
-4230,-0.07,0.01,-0.05,1.28,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494812,-0.0839233,0.013916,0,3,1,0
-4210,-0.03,-0.01,0.01,1.29,-8.41,4.87,358.125,7.5,59.875,0.864929,-0.494629,-0.0839844,0.0137939,0,3,1,0
-4190,0.03,-0.05,0.2,1.29,-8.41,4.87,358.125,7.5625,59.875,0.865051,-0.494446,-0.0840454,0.0137329,0,3,1,0
-4170,0.11,-0.05,0.27,1.29,-8.41,4.87,358.125,7.5625,59.875,0.86499,-0.494446,-0.0840454,0.0136719,0,3,1,0
-4150,0.03,0.03,0.16,1.29,-8.41,4.86,358.188,7.5625,59.875,0.864929,-0.494629,-0.0840454,0.0136719,0,3,1,0
-4130,-0.08,0.08,-0.07,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864807,-0.494812,-0.0839844,0.0137329,0,3,1,0
-4110,-0.1,0.04,-0.11,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864807,-0.494873,-0.0839844,0.0137329,0,3,1,0
-4090,-0.08,-0.04,-0.06,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864868,-0.494751,-0.0839844,0.0137329,0,3,1,0
-4070,0.05,-0.19,0.1,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864929,-0.49469,-0.0839844,0.0137329,0,3,1,0
-4050,0.12,-0.18,0.23,1.29,-8.41,4.87,358.188,7.5625,59.875,0.864929,-0.494629,-0.0840454,0.0136719,0,3,1,0
-4029,0.05,0.04,0.15,1.29,-8.41,4.86,358.188,7.5625,59.9375,0.864807,-0.494812,-0.0841064,0.0136719,0,3,1,0
-4009,-0.01,0.18,0,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864685,-0.495056,-0.0841064,0.0137329,0,3,1,0
-3989,-0.11,0.1,-0.07,1.29,-8.41,4.85,358.125,7.5625,60,0.864624,-0.495178,-0.0841064,0.0137939,0,3,1,0
-3969,-0.12,0.01,-0.11,1.29,-8.41,4.85,358.125,7.5625,60,0.864624,-0.495178,-0.0840454,0.0137939,0,3,1,0
-3949,-0.03,-0.13,0,1.29,-8.41,4.85,358.125,7.5625,60,0.864624,-0.495178,-0.0840454,0.013855,0,3,1,0
-3929,0.06,-0.16,0.11,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864746,-0.494934,-0.0840454,0.013855,0,3,1,0
-3909,0.07,-0.03,0.16,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864746,-0.494934,-0.0840454,0.013855,0,3,1,0
-3889,0.01,0.1,0.13,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864807,-0.494873,-0.0840454,0.013855,0,3,1,0
-3869,-0.07,0.12,0.01,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864746,-0.494873,-0.0840454,0.013855,0,3,1,0
-3849,-0.06,0.03,-0.02,1.29,-8.41,4.86,358.125,7.5,59.9375,0.864746,-0.494873,-0.0840454,0.013855,0,3,1,0
-3829,-0.02,-0.06,-0.03,1.29,-8.41,4.86,358.125,7.5,59.9375,0.864746,-0.494873,-0.0839844,0.013855,0,3,1,0
-3809,0.06,-0.08,0,1.29,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494873,-0.0839844,0.013855,0,3,1,0
-3789,0.02,-0.01,0.07,1.29,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494873,-0.0840454,0.013855,0,3,1,0
-3769,0,0.04,0.1,1.29,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494812,-0.0839844,0.013916,0,3,1,0
-3749,-0.09,0,0.07,1.28,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494812,-0.0839844,0.013916,0,3,1,0
-3729,-0.08,-0.08,0,1.28,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494812,-0.0839844,0.013916,0,3,1,0
-3709,-0.05,-0.07,0,1.28,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494812,-0.0839844,0.013916,0,3,1,0
-3689,0,0,0,1.28,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494812,-0.0839844,0.013916,0,3,1,0
-3669,-0.01,0.03,-0.03,1.28,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494812,-0.0839844,0.013916,0,3,1,0
-3648,-0.01,0.03,0.04,1.28,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494812,-0.0839844,0.013916,0,3,1,0
-3628,0,-0.06,0.04,1.28,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494812,-0.0839233,0.013855,0,3,1,0
-3608,0,-0.09,0.04,1.28,-8.41,4.86,358.125,7.5,59.9375,0.864807,-0.494812,-0.0839233,0.013855,0,3,1,0
-3588,-0.02,-0.01,0.05,1.28,-8.41,4.86,358.125,7.5,59.9375,0.864868,-0.49469,-0.0839844,0.0137939,0,3,1,0
-3568,-0.02,0.07,0.03,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864929,-0.49469,-0.0839844,0.0137939,0,3,1,0
-3548,-0.02,0.07,0.08,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864929,-0.49469,-0.0839844,0.0137939,0,3,1,0
-3528,0.02,0,0.14,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864929,-0.49469,-0.0839844,0.0137939,0,3,1,0
-3508,0.03,-0.09,0.11,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864929,-0.49469,-0.0839844,0.0137939,0,3,1,0
-3488,0,-0.08,0,1.29,-8.41,4.86,358.125,7.5625,59.9375,0.864929,-0.49469,-0.0839844,0.0137939,0,3,1,0
-3468,-0.04,-0.02,-0.05,1.29,-8.41,4.86,358.125,7.5625,59.875,0.864929,-0.494629,-0.0839844,0.0137939,0,3,1,0
-3448,-0.09,0.07,-0.08,1.29,-8.41,4.87,358.125,7.5625,59.875,0.86499,-0.494507,-0.0839844,0.0137939,0,3,1,0
-3428,-0.09,0.05,0,1.29,-8.4,4.87,358.188,7.5625,59.875,0.865173,-0.494202,-0.0840454,0.0136719,0,3,1,0
